Date,Ticker,Sector,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA50,SMA200,EMA20,Daily_Return,Volatility_20D,RSI_14,MACD,MACD_Signal,BB_Mid,BB_Std,BB_Upper,BB_Lower,Cumulative_Return
2022-01-03,BANKFIN,Finance,45.08,45.23,44.85,45.0,45.0,6084946,,,,45.0,,,,0.0,0.0,,,,,0.0
2022-01-04,BANKFIN,Finance,45.27,45.99,44.42,45.14,45.14,9355213,,,,45.013333333333335,0.0031111111111110645,,,0.011168091168087813,0.0022336182336175625,,,,,0.0031111111111110645
2022-01-05,BANKFIN,Finance,44.19,44.79,43.52,44.11,44.11,12839664,,,,44.927301587301585,-0.02281789986708027,,,-0.0623744937135271,-0.010688004155811372,,,,,-0.019777777777777894
2022-01-06,BANKFIN,Finance,45.09,45.74,44.1,44.75,44.75,8243090,,,,44.91041572184429,0.014509181591475961,,,-0.0682283765271734,-0.022196078630083778,,,,,-0.005555555555555536
2022-01-07,BANKFIN,Finance,44.13,44.82,43.38,44.07,44.07,9451874,,,,44.83037612928769,-0.015195530726257012,,,-0.12628223483955026,-0.04301330987197707,,,,,-0.020666666666666722
2022-01-10,BANKFIN,Finance,42.64,42.84,42.4,42.61,42.61,12491512,,,,44.6189117360222,-0.03312911277513053,,,-0.2867941496445212,-0.0917694778264859,,,,,-0.05311111111111122
2022-01-11,BANKFIN,Finance,41.39,42.23,40.75,41.59,41.59,7705186,,,,44.33044395163913,-0.023938042712978058,,,-0.49065055982341477,-0.17154569422587168,,,,,-0.07577777777777772
2022-01-12,BANKFIN,Finance,41.72,42.16,41.14,41.58,41.58,7538823,,,,44.06849690862588,-0.00024044241404197475,,,-0.645573381931392,-0.2663512317669757,,,,,-0.07600000000000007
2022-01-13,BANKFIN,Finance,41.42,42.38,40.75,41.7,41.7,7202864,,,,43.84292577447104,0.0028860028860029363,,,-0.7500220501706139,-0.36308539544770335,,,,,-0.07333333333333336
2022-01-14,BANKFIN,Finance,41.23,41.9,40.23,40.9,40.9,11909902,,,,43.56264712928332,-0.01918465227817756,,,-0.8871254563390067,-0.46789340762596404,,,,,-0.09111111111111125
2022-01-17,BANKFIN,Finance,40.45,40.59,40.17,40.31,40.31,11270037,,,,43.25287121220872,-0.014425427872860497,,,-1.031498490159379,-0.5806144241326471,,,,,-0.10422222222222222
2022-01-18,BANKFIN,Finance,40.77,41.12,39.96,40.32,40.32,8466338,,,,42.97355014437932,0.0002480774001487607,,,-1.1320585765980269,-0.6909032546257231,,,,,-0.10400000000000009
2022-01-19,BANKFIN,Finance,40.94,41.39,40.43,40.88,40.88,9929331,,,,42.77416441634319,0.01388888888888884,,,-1.1532716519947073,-0.7833769340995199,,,,,-0.09155555555555572
2022-01-20,BANKFIN,Finance,40.36,40.89,39.68,40.21,40.21,10731130,,,,42.52995828145336,-0.016389432485322986,,,-1.2101961794195262,-0.8687407831635212,,,,,-0.10644444444444467
2022-01-21,BANKFIN,Finance,40.39,40.73,40.09,40.43,40.43,7504685,,,,42.32996225464828,0.0054712758020392105,,21.257861635220166,-1.2234539011407435,-0.9396834067589658,,,,,-0.10155555555555584
2022-01-24,BANKFIN,Finance,39.48,39.75,39.21,39.48,39.48,9668755,,,,42.05853727801511,-0.0234974029186249,,17.694063926940657,-1.29568198623695,-1.0108831226545627,,,,,-0.12266666666666703
2022-01-25,BANKFIN,Finance,39.5,40.01,39.16,39.67,39.67,8322053,,,,41.831057537251766,0.0048125633232016796,,21.96969696969704,-1.322348639959202,-1.0731762261154907,,,,,-0.1184444444444448
2022-01-26,BANKFIN,Finance,39.86,40.52,39.45,40.1,40.1,11044585,,,,41.66619491465636,0.010839425258381663,,19.844357976653754,-1.2938698229044476,-1.1173149454732823,,,,,-0.10888888888888926
2022-01-27,BANKFIN,Finance,40.43,41.13,39.7,40.4,40.4,9513719,,,,41.54560492278433,0.007481296758104605,,24.96589358799457,-1.2328807802216204,-1.1404281124229498,,,,,-0.10222222222222266
2022-01-28,BANKFIN,Finance,40.97,41.57,40.38,40.97,40.97,9393972,41.711,,,41.490785406328676,0.01410891089108901,,37.26708074534164,-1.1255773333308383,-1.1374579566045275,41.711,1.8794929327375836,45.46998586547517,37.95201413452483,-0.08955555555555605
2022-01-31,BANKFIN,Finance,41.34,41.91,40.95,41.52,41.52,10474313,41.537,,,41.49356774858309,0.013424456919697514,0.24543847626205603,49.41373534338359,-0.9848059452160456,-1.1069275543268313,41.537,1.712659059074974,44.962318118149945,38.11168188185005,-0.0773333333333337
2022-02-01,BANKFIN,Finance,42.45,42.77,42.29,42.61,42.61,9616524,41.4105,,,41.599894629670416,0.026252408477841938,0.2670065829175597,57.30496453900709,-0.7763405448957386,-1.0408101524406128,41.4105,1.5145000043439716,44.43950000868794,38.381499991312054,-0.05311111111111155
2022-02-02,BANKFIN,Finance,42.69,42.92,42.45,42.68,42.68,8808765,41.339,,,41.70276180779704,0.0016428068528513418,0.2565286101127836,56.99999999999997,-0.5985817207713282,-0.952364466106756,41.339,1.4105351727923008,44.1600703455846,38.5179296544154,-0.05155555555555613
2022-02-03,BANKFIN,Finance,43.61,44.24,43.18,43.8,43.8,9869637,41.2915,,,41.902498778483036,0.026241799437675573,0.26931499215016064,69.8087431693989,-0.36314581331464524,-0.8345207355483338,41.2915,1.3013971237420978,43.8942942474842,38.6887057525158,-0.026666666666667393
2022-02-04,BANKFIN,Finance,43.31,43.97,42.59,43.25,43.25,7800417,41.2505,,,42.03083222815132,-0.012557077625570678,0.2676195326054968,70.19230769230768,-0.2184237113093772,-0.7113013307005426,41.2505,1.2196007759228316,43.689701551845666,38.81129844815434,-0.03888888888888953
2022-02-07,BANKFIN,Finance,42.96,43.51,42.58,43.14,43.14,8337725,41.277,,,42.13646725404167,-0.0025433526011560126,0.23912435269645138,69.10569105691056,-0.11132321872623407,-0.591305708305681,41.277,1.255912752584851,43.788825505169704,38.7651744948303,-0.04133333333333389
2022-02-08,BANKFIN,Finance,43.13,43.6,42.61,43.08,43.08,8542188,41.3515,,,42.22632751556151,-0.0013908205841447474,0.22098532250037775,65.98837209302322,-0.03093026050608927,-0.47923061874576267,41.3515,1.318109790970625,43.98771958194125,38.715280418058754,-0.0426666666666673
2022-02-09,BANKFIN,Finance,42.28,43.17,41.59,42.48,42.48,8922062,41.396499999999996,,,42.25048679979374,-0.013927576601671321,0.22793683447206045,66.66666666666663,-0.015455090840667651,-0.38647551316474366,41.396499999999996,1.3414770924148043,44.07945418482961,38.713545815170384,-0.056000000000000605
2022-02-10,BANKFIN,Finance,40.93,41.81,40.25,41.12,41.12,11700753,41.3675,,,42.14282139028957,-0.032015065913371,0.25634658419188483,54.33962264150942,-0.11164457226131219,-0.3315093249840574,41.3675,1.340839780059298,44.049179560118596,38.685820439881404,-0.08622222222222276
2022-02-11,BANKFIN,Finance,41.24,41.89,40.98,41.63,41.63,9960578,41.403999999999996,,,42.09398125788104,0.012402723735408738,0.2503861055021409,64.31424766977366,-0.14505063807792595,-0.2942175876028311,41.403999999999996,1.337375277017988,44.07875055403597,38.72924944596402,-0.07488888888888923
2022-02-14,BANKFIN,Finance,41.09,41.26,40.94,41.11,41.11,10406509,41.444,,,42.00026875713046,-0.012490992073024287,0.24889484500204473,59.183673469387735,-0.21105196442338325,-0.27758446296694156,41.444,1.3147038890143543,44.07340777802871,38.814592221971296,-0.08644444444444477
2022-02-15,BANKFIN,Finance,41.14,41.45,40.59,40.9,40.9,10059738,41.473,,,41.89548125645137,-0.005108246168815445,0.2498623726788931,55.249343832020976,-0.27710939145274693,-0.27748944866410263,41.473,1.2948525622227154,44.06270512444543,38.88329487555457,-0.09111111111111148
2022-02-16,BANKFIN,Finance,42.05,42.62,41.26,41.82,41.82,9148155,41.519999999999996,,,41.888292565360764,0.022493887530562473,0.2575741853141419,58.616504854368934,-0.2523155306757303,-0.2724546650664282,41.519999999999996,1.2892429439097377,44.09848588781947,38.94151411218052,-0.07066666666666688
2022-02-17,BANKFIN,Finance,42.22,42.95,41.44,42.16,42.16,10752929,41.6175,,,41.914169463897835,0.008130081300812941,0.24987712328186873,57.4282147315855,-0.20289224339258993,-0.2585421807316606,41.6175,1.2583233414265758,44.13414668285315,39.10085331714685,-0.06311111111111134
2022-02-18,BANKFIN,Finance,42.86,43.39,42.68,43.21,43.21,11106204,41.7565,,,42.03758189590757,0.02490512333965844,0.26217340077078155,59.929494712103384,-0.07809744858792556,-0.22245323430291358,41.7565,1.2736944812548043,44.30388896250961,39.209111037490395,-0.03977777777777802
2022-02-21,BANKFIN,Finance,43.44,43.59,43.14,43.29,43.29,9096358,41.946999999999996,,,42.15685981058304,0.0018514232816477794,0.24229025142009442,54.53333333333333,0.026948016841224387,-0.172572984074086,41.946999999999996,1.197959229602357,44.34291845920471,39.55108154079528,-0.038000000000000256
2022-02-22,BANKFIN,Finance,43.68,44.39,42.93,43.64,43.64,9446243,42.1455,,,42.29811125719418,0.008085008085008116,0.24258372908815296,56.16966580976863,0.13686172318211476,-0.11068604262284586,42.1455,1.1276546457138374,44.40080929142767,39.89019070857233,-0.030222222222222483
2022-02-23,BANKFIN,Finance,43.44,44.13,42.82,43.51,43.51,6486472,42.315999999999995,,,42.413529232699496,-0.0029789184234647603,0.24304837641667992,47.86450662739323,0.21104640224483973,-0.04633955364930874,42.315999999999995,1.0577254643312404,44.43145092866248,40.20054907133751,-0.033111111111111424
2022-02-24,BANKFIN,Finance,43.22,43.99,42.24,43.01,43.01,6565056,42.4465,,,42.4703359724424,-0.01149161112387953,0.2489114974842414,48.21958456973293,0.22687717470430613,0.008303792021414236,42.4465,0.9659153008525413,44.37833060170508,40.51466939829492,-0.044222222222222496
2022-02-25,BANKFIN,Finance,43.46,43.85,42.97,43.35,43.35,9573921,42.5655,,,42.554113498876454,0.007905138339921125,0.2462827185631799,51.506456241033,0.26381721381409307,0.05940647637995,42.5655,0.9199512286843792,44.40540245736876,40.72559754263124,-0.036666666666666736
2022-02-28,BANKFIN,Finance,43.44,43.85,42.71,43.11,43.11,8239632,42.644999999999996,,,42.60705507041203,-0.005536332179930881,0.24477039443346613,50.20979020979022,0.27060707677686224,0.10164659645933247,42.644999999999996,0.8931582048816289,44.431316409763255,40.85868359023674,-0.04200000000000015
2022-03-01,BANKFIN,Finance,43.26,43.75,43.02,43.51,43.51,9613640,42.69,,,42.693049825610885,0.00927858965437256,0.2293907243344688,57.41007194244603,0.3047517605593626,0.1422676292793385,42.69,0.913737265013138,44.51747453002628,40.86252546997372,-0.0331111111111112
2022-03-02,BANKFIN,Finance,42.95,43.38,42.74,43.18,43.18,8280860,42.715,,,42.73942603269556,-0.007584463341760439,0.23145412593900758,67.39864864864862,0.3017055525763155,0.1741552139387339,42.715,0.9202659798581149,44.555531959716234,40.87446804028377,-0.040444444444444505
2022-03-03,BANKFIN,Finance,42.88,43.59,42.38,43.08,43.08,6899683,42.678999999999995,,,42.77186164862931,-0.0023158869847151875,0.21091615634453245,63.15789473684203,0.28790347449755416,0.19690486605049798,42.678999999999995,0.8891444734894594,44.45728894697891,40.90071105302108,-0.04266666666666674
2022-03-04,BANKFIN,Finance,42.99,43.4,42.63,43.04,43.04,6663254,42.668499999999995,,,42.797398634474135,-0.0009285051067781103,0.20626602509462086,69.18489065606359,0.2706180460939933,0.21164750205919705,42.668499999999995,0.8832671110562703,44.435034222112535,40.901965777887455,-0.04355555555555568
2022-03-07,BANKFIN,Finance,43.98,44.16,43.52,43.7,43.7,10520977,42.6965,,,42.88336066928613,0.015334572490706355,0.21317606616002557,75.54744525547444,0.30664093784512403,0.23064618921638247,42.6965,0.90754309742525,44.5115861948505,40.8814138051495,-0.028888888888888964
2022-03-08,BANKFIN,Finance,43.35,44.17,42.64,43.46,43.46,7073310,42.715500000000006,,,42.93827870078268,-0.005491990846681949,0.21421200373305335,67.0833333333333,0.31222421841543024,0.24696179505619203,42.715500000000006,0.9198882941337048,44.55527658826742,40.875723411732594,-0.034222222222222376
2022-03-09,BANKFIN,Finance,44.09,44.46,43.82,44.19,44.19,10624498,42.801,,,43.0574902530891,0.016797054763000308,0.2144796401482548,69.55684007707126,0.37127409101706377,0.2718242542483664,42.801,0.9746842943662419,44.750368588732485,40.85163141126752,-0.01800000000000035
2022-03-10,BANKFIN,Finance,43.73,44.35,43.03,43.65,43.65,8305013,42.927499999999995,,,43.1139197527949,-0.012219959266802416,0.18178329918196298,54.70085470085468,0.3702302693685766,0.2915054572724085,42.927499999999995,0.9068503909570522,44.7412007819141,41.11379921808589,-0.03000000000000036
2022-03-11,BANKFIN,Finance,43.98,44.3,43.51,43.83,43.83,9289242,43.0375,42.40560000000001,,43.18211787157634,0.004123711340206171,0.17848034363906395,55.64853556485354,0.37955228637482463,0.30911482309289173,43.0375,0.8740159880508108,44.78553197610162,41.28946802389838,-0.026000000000000356
2022-03-14,BANKFIN,Finance,43.04,44.09,42.39,43.43,43.43,6743192,43.1535,42.3742,,43.205725693330976,-0.0091261692904403,0.17506439492072873,47.826086956521735,0.35062164686262065,0.31741618784683756,43.1535,0.7498720943566004,44.6532441887132,41.6537558112868,-0.03488888888888919
2022-03-15,BANKFIN,Finance,44.3,44.51,43.91,44.12,44.12,7655733,43.314499999999995,42.3538,,43.292799436823266,0.015887635275155354,0.17830901882988295,55.658627087198504,0.3790022381637499,0.32973339791022005,43.314499999999995,0.5629478334250124,44.44039566685002,42.18860433314997,-0.01955555555555588
2022-03-16,BANKFIN,Finance,43.52,44.26,42.9,43.63,43.63,9770423,43.405,42.3442,,43.32491377617343,-0.01110607434270161,0.17148545736992687,55.762081784386666,0.3578303112553627,0.3353527805792486,43.405,0.4426891507712262,44.290378301542454,42.51962169845755,-0.030444444444444607
2022-03-17,BANKFIN,Finance,43.2,43.41,43.0,43.22,43.22,8940444,43.458,42.313599999999994,,43.314921987966436,-0.009397203758881534,0.174670435394143,48.80733944954126,0.30445822822166235,0.32917387010773136,43.458,0.33650838732023625,44.13101677464047,42.784983225359525,-0.03955555555555579
2022-03-18,BANKFIN,Finance,42.72,43.14,42.07,42.48,42.48,7799882,43.421499999999995,42.2818,,43.23540560816011,-0.017121702915317005,0.16263050028358517,44.70588235294115,0.20014154518133154,0.3033674051224514,43.421499999999995,0.3986724681265671,44.21884493625313,42.62415506374686,-0.05600000000000027
2022-03-21,BANKFIN,Finance,42.52,43.15,41.92,42.56,42.56,9598239,43.385000000000005,42.2808,,43.17108126452581,0.0018832391713747842,0.16263742365593853,41.56305506216701,0.12251290125878711,0.2671965043497186,43.385000000000005,0.4423680296814322,44.26973605936287,42.50026394063714,-0.054222222222222505
2022-03-22,BANKFIN,Finance,42.66,43.16,42.42,42.92,42.92,7349026,43.349000000000004,42.3074,,43.1471687631424,0.008458646616541277,0.16291333307022896,47.703180212014146,0.08901452894044581,0.23156010926786405,43.349000000000004,0.449758999792953,44.24851799958591,42.4494820004141,-0.04622222222222261
2022-03-23,BANKFIN,Finance,42.97,43.53,42.65,43.22,43.22,7928552,43.334500000000006,42.3402,,43.154105071414556,0.006989748369058635,0.1649600126643474,51.194539249146764,0.08568657878858232,0.2023854031720077,43.334500000000006,0.44896928742693715,44.23243857485388,42.43656142514613,-0.03955555555555601
2022-03-24,BANKFIN,Finance,43.14,43.84,42.45,43.15,43.15,6346591,43.3415,42.36919999999999,,43.153714112232215,-0.0016196205460434765,0.15970160588649662,50.93378607809847,0.07651867962357528,0.17721205846232124,43.3415,0.44471487021404404,44.23092974042809,42.45207025957192,-0.04111111111111154
2022-03-25,BANKFIN,Finance,42.71,43.46,42.01,42.77,42.77,7966054,43.3125,42.406600000000005,,43.11716991106724,-0.008806488991888628,0.1600390711634342,41.71122994652406,0.03815045458404853,0.14939973768666673,43.3125,0.4626795526291079,44.23785910525822,42.38714089474178,-0.04955555555555591
2022-03-28,BANKFIN,Finance,42.62,42.78,42.46,42.61,42.61,7898159,43.2875,42.45259999999999,,43.06886801477512,-0.003740939911152763,0.15943406010962305,42.31464737793849,-0.0051084163680954475,0.1184981068757143,43.2875,0.4870628944581102,44.26162578891622,42.31337421108378,-0.05311111111111155
2022-03-29,BANKFIN,Finance,42.42,42.72,42.18,42.49,42.49,6910165,43.2365,42.496,,43.013737727653684,-0.002816240319173824,0.15528621873394854,32.72357723577238,-0.048515128181101375,0.08509545986435117,43.2365,0.5151318175707059,44.26676363514141,42.20623636485859,-0.05577777777777815
2022-03-30,BANKFIN,Finance,42.86,43.06,42.44,42.65,42.65,9249336,43.209999999999994,42.531400000000005,,42.979096039305716,0.0037655919039774055,0.15426189050808176,38.98678414096914,-0.06920682400974698,0.054235003089531546,43.209999999999994,0.5315617506337864,44.27312350126757,42.14687649873242,-0.052222222222222614
2022-03-31,BANKFIN,Finance,42.77,43.02,42.53,42.77,42.77,7356258,43.1945,42.5826,,42.95918213080041,0.0028135990621338536,0.15456728306395717,38.169642857142904,-0.07505693528279522,0.028376615415066198,43.1945,0.5400046296097958,44.27450925921959,42.114490740780404,-0.0495555555555558
2022-04-01,BANKFIN,Finance,43.52,44.59,42.75,43.83,43.83,11673173,43.233999999999995,42.650600000000004,,43.042117165962274,0.024783726911386417,0.17833513568668868,53.89105058365758,0.005773398452369349,0.02385597202252683,43.233999999999995,0.5567424047646921,44.34748480952938,42.12051519047061,-0.026000000000000356
2022-04-04,BANKFIN,Finance,44.01,44.5,43.37,43.86,43.86,6289601,43.242000000000004,42.7382,,43.12001076920396,0.000684462696783017,0.17007429701026527,47.098214285714306,0.07142937618274914,0.03337065285457129,43.242000000000004,0.5648809842044639,44.37176196840893,42.112238031591076,-0.025333333333333652
2022-04-05,BANKFIN,Finance,44.43,44.88,43.65,44.1,44.1,7532273,43.274,42.826800000000006,,43.21334307689882,0.00547195622435015,0.1696281043786555,55.555555555555536,0.14120053393523335,0.05493662907070371,43.274,0.5951947934124415,44.464389586824886,42.083610413175116,-0.02000000000000035
2022-04-06,BANKFIN,Finance,44.18,44.97,43.37,44.15,44.15,5413516,43.272000000000006,42.907799999999995,,43.30254849814655,0.0011337868480725266,0.15878358274570553,62.015503875968996,0.19824402751412862,0.0835981087593887,43.272000000000006,0.5920135133592949,44.456027026718594,42.08797297328142,-0.018888888888889288
2022-04-07,BANKFIN,Finance,44.01,44.51,43.47,43.97,43.97,9257061,43.288,42.9792,,43.366115307846876,-0.004077010192525488,0.1529957866599457,72.5075528700907,0.22631805778232916,0.1121420985639768,43.288,0.6069041370586987,44.501808274117394,42.0741917258826,-0.02288888888888929
2022-04-08,BANKFIN,Finance,44.06,44.77,43.49,44.2,44.2,8735234,43.3065,43.043800000000005,,43.445532897575745,0.0052308392085513855,0.15340222246100413,73.69942196531797,0.26408183582400824,0.1425300460159831,43.3065,0.6295133876758902,44.56552677535178,42.04747322464822,-0.017777777777778114
2022-04-11,BANKFIN,Finance,43.91,44.3,43.56,43.95,43.95,9717663,43.332499999999996,43.092400000000005,,43.49357738352091,-0.005656108597285048,0.15100050690949815,65.37313432835825,0.2707163418586731,0.1681673051845211,43.332499999999996,0.6454200998289232,44.62334019965784,42.04165980034215,-0.02333333333333365
2022-04-12,BANKFIN,Finance,44.02,44.4,43.55,43.93,43.93,7389725,43.32299999999999,43.1188,,43.535141442233204,-0.0004550625711036149,0.13984117894911507,61.563517915309454,0.2712337885597975,0.1887806018595764,43.32299999999999,0.6345251021537107,44.59205020430741,42.053949795692574,-0.02377777777777823
2022-04-13,BANKFIN,Finance,44.86,45.39,44.12,44.66,44.66,11054489,43.3745,43.15839999999999,,43.64227082868718,0.01661734577737306,0.14561601300019145,70.24128686327077,0.326781830407576,0.21638084756917633,43.3745,0.6992512913259971,44.77300258265199,41.975997417348005,-0.007555555555556093
2022-04-14,BANKFIN,Finance,44.45,44.63,44.19,44.37,44.37,8995001,43.432,43.1698,,43.711578368812205,-0.00649350649350644,0.14315539598498792,71.9780219780219,0.34344446341756907,0.24179357073885488,43.432,0.7323760897531615,44.89675217950632,41.96724782049368,-0.014000000000000457
2022-04-15,BANKFIN,Finance,44.95,45.25,44.32,44.62,44.62,5739244,43.539,43.1972,,43.79809471463961,0.00563443768311922,0.12596302663824827,76.94369973190348,0.372528355793861,0.2679405277498561,43.539,0.7422292169716496,45.023458433943304,42.0545415660567,-0.00844444444444492
2022-04-18,BANKFIN,Finance,43.14,43.4,42.87,43.13,43.13,9761057,43.567499999999995,43.19700000000001,,43.734466646578696,-0.033393097265799976,0.1792045328608446,56.27450980392158,0.27220914491154247,0.2687942511821934,43.567499999999995,0.7130281975674946,44.99355639513499,42.141443604865,-0.0415555555555559
2022-04-19,BANKFIN,Finance,42.84,43.17,42.7,43.03,43.03,7762766,43.573,43.196,,43.66737458499978,-0.0023185717597959954,0.17710791449849958,53.769841269841294,0.1825321660731234,0.2515418341603794,43.573,0.7081785382975807,44.98935707659516,42.15664292340484,-0.04377777777777814
2022-04-20,BANKFIN,Finance,42.56,43.22,42.09,42.75,42.75,8863154,43.5495,43.20139999999999,,43.58000557690456,-0.006507088078085088,0.1767119592070569,49.80769230769228,0.0878561038370691,0.21880468809571735,43.5495,0.7280288817290235,45.00555776345805,42.093442236541954,-0.05000000000000038
2022-04-21,BANKFIN,Finance,43.04,43.54,42.34,42.83,42.83,5735072,43.5335,43.2356,,43.50857647434223,0.0018713450292398015,0.17684972225830348,38.15165876777251,0.019060259021493664,0.1788558022808726,43.5335,0.7406773216029193,45.01485464320584,42.052145356794156,-0.04822222222222261
2022-04-22,BANKFIN,Finance,42.88,43.25,42.33,42.71,42.71,8839787,43.5305,43.25719999999999,,43.43252157202392,-0.0028017744571561254,0.1742906929637849,36.65893271461717,-0.04462947989693333,0.13415874584531143,43.5305,0.744046369522782,45.018592739045566,42.04240726095444,-0.050888888888889205
2022-04-25,BANKFIN,Finance,42.52,43.1,42.22,42.8,42.8,7993579,43.54,43.291000000000004,,43.37228142230736,0.0021072348396158347,0.17386719978643336,34.374999999999915,-0.0868407627544272,0.0899588441253637,43.54,0.7328028384224731,45.005605676844944,42.074394323155055,-0.048888888888889426
2022-04-26,BANKFIN,Finance,42.56,43.14,42.01,42.59,42.59,8220435,43.545,43.3248,,43.29777842970665,-0.004906542056074659,0.1745179818822457,31.944444444444443,-0.13567477909286652,0.044832119481717655,43.545,0.7255669289742238,44.99613385794845,42.09386614205155,-0.05355555555555602
2022-04-27,BANKFIN,Finance,42.8,43.05,42.59,42.83,42.83,7152389,43.554,43.345,,43.253228103067926,0.0056351256163418295,0.17515311940272588,36.98630136986296,-0.15324359782990626,0.005216976019392874,43.554,0.7149192078020038,44.98383841560401,42.12416158439599,-0.04822222222222272
2022-04-28,BANKFIN,Finance,41.71,42.29,41.26,41.84,41.84,10799082,43.50750000000001,43.3386,,43.11863495039479,-0.023114639271538562,0.19338812619406076,27.042801556420116,-0.24423633504177644,-0.04467368619284099,43.50750000000001,0.7944205104152662,45.096341020830536,41.91865897916948,-0.07022222222222263
2022-04-29,BANKFIN,Finance,41.68,42.53,41.08,41.92,41.92,5547848,43.412,43.312799999999996,,43.00447924083338,0.0019120458891013214,0.16831636143524087,29.577464788732257,-0.30636185468022603,-0.097011319890318,43.412,0.8652568830608837,45.142513766121766,41.68148623387823,-0.06844444444444486
2022-05-02,BANKFIN,Finance,41.26,41.61,41.03,41.39,41.39,6632849,43.2885,43.2748,,42.85071931313497,-0.012643129770992356,0.17192698032977669,26.824817518248054,-0.3938235939447665,-0.15637377470120772,43.2885,0.9681087096417572,45.224717419283515,41.35228258071648,-0.08022222222222264
2022-05-03,BANKFIN,Finance,41.92,42.68,41.32,42.08,42.08,10699294,43.1875,43.24360000000001,,42.77731747378878,0.016670693404203796,0.18332355924374394,26.286764705882234,-0.4028169954318557,-0.20566241884733732,43.1875,0.9842275892132022,45.1559551784264,41.2190448215736,-0.06488888888888944
2022-05-04,BANKFIN,Finance,41.31,42.14,40.71,41.54,41.54,8041090,43.057,43.2042,,42.65947771438032,-0.012832699619771848,0.186551435921746,25.1318101933215,-0.4483495237145405,-0.254199839820778,43.057,1.0221911449636545,45.10138228992731,41.012617710072696,-0.07688888888888945
2022-05-05,BANKFIN,Finance,42.27,42.43,41.96,42.13,42.13,8279315,42.964999999999996,43.1866,,42.60905126539172,0.01420317766008683,0.1961581965583575,29.353233830845724,-0.4318482336372753,-0.2897295185840775,42.964999999999996,1.018489593776772,45.00197918755354,40.928020812446455,-0.06377777777777816
2022-05-06,BANKFIN,Finance,42.18,42.32,41.99,42.13,42.13,6229522,42.8615,43.16219999999999,,42.56342733535441,0.0,0.19445019486501486,38.98678414096911,-0.413998525073751,-0.31458331988201216,42.8615,0.9911942557498837,44.84388851149977,40.87911148850023,-0.06377777777777816
2022-05-09,BANKFIN,Finance,41.01,41.81,40.29,41.09,41.09,10061537,42.7185,43.1218,,42.42310092246352,-0.02468549727035363,0.2098946703995098,32.29927007299264,-0.47825874172542626,-0.347318404250695,42.7185,1.0313826948121,44.781265389624195,40.6557346103758,-0.08688888888888924
2022-05-10,BANKFIN,Finance,40.27,40.85,40.03,40.61,40.61,6493896,42.5525,43.0638,,42.25042464413366,-0.0116816743733269,0.21166968201156627,31.161971830985834,-0.5614454215325608,-0.3901438077070682,42.5525,1.0915506835400743,44.73560136708015,40.369398632919854,-0.09755555555555595
2022-05-11,BANKFIN,Finance,41.05,41.73,40.42,41.1,41.1,7823792,42.3745,43.022200000000005,,42.1408603923114,0.01206599359763616,0.2063871965432102,35.79638752052543,-0.5811336131588689,-0.42834176879742836,42.3745,1.0175485246414278,44.40959704928285,40.339402950717144,-0.086666666666667
2022-05-12,BANKFIN,Finance,41.65,42.13,41.09,41.56,41.56,8943770,42.234,42.991800000000005,,42.085540354948414,0.01119221411192206,0.21306559522817076,41.05754276827371,-0.5532410725451911,-0.4533216295469809,42.234,0.9164944654841576,44.066988930968314,40.40101106903169,-0.07644444444444487
2022-05-13,BANKFIN,Finance,40.71,41.12,40.43,40.83,40.83,9356740,42.044500000000006,42.9476,,41.965965083048566,-0.017564966313763364,0.21622742073884157,36.067892503536065,-0.5833168191009079,-0.47932066745776636,42.044500000000006,0.7786389947918382,43.60177798958368,40.48722201041633,-0.09266666666666723
2022-05-16,BANKFIN,Finance,41.55,41.95,41.34,41.74,41.74,12984495,41.97500000000001,42.9084,,41.94444459894871,0.022287533676218496,0.20713861153892713,44.530244530244524,-0.5276403604867141,-0.4889846060635559,41.97500000000001,0.737602802825988,43.45020560565199,40.49979439434803,-0.07244444444444498
2022-05-17,BANKFIN,Finance,41.72,42.18,41.28,41.74,41.74,7036024,41.9105,42.873999999999995,,41.92497368476312,0.0,0.20718883071917243,42.76228419654718,-0.4780062078917027,-0.4867889264291853,41.9105,0.6957046787250358,43.30190935745007,40.519090642549926,-0.07244444444444498
2022-05-18,BANKFIN,Finance,42.32,42.71,41.88,42.27,42.27,8339256,41.8865,42.83559999999999,,41.9578333338333,0.012697652132247272,0.21211518171619137,53.04101838755303,-0.3913924848284651,-0.4677096381090413,41.8865,0.6731330907737638,43.232766181547525,40.54023381845247,-0.0606666666666672
2022-05-19,BANKFIN,Finance,41.24,42.14,40.69,41.58,41.58,9434546,41.824,42.794200000000004,,41.92184920680156,-0.016323633782824865,0.21915655784864152,47.786458333333314,-0.3741151521170565,-0.4489907409106444,41.824,0.6380348117873579,43.10006962357471,40.547930376425285,-0.07600000000000073
